geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
R402	37.0711303298553	37.0711303298553	-3.2286696064843	-3.2286696064843
R401	37.071106495289	37.071106495289	-3.22866407338874	-3.22866407338874
B410	37.0708581434139	37.0708581434139	-3.22940314429742	-3.22940314429742
B409	37.0708330651429	37.0708330651429	-3.22940262441464	-3.22940262441464
B408	37.0708082483352	37.0708082483352	-3.229416525736	-3.229416525736
B407	37.0708144977921	37.0708144977921	-3.22935504039501	-3.22935504039501
B406	37.0707896673286	37.0707896673286	-3.22935782630415	-3.22935782630415
B405	37.0707748937573	37.0707748937573	-3.22938357633791	-3.22938357633791
B404	37.0707611017627	37.0707611017627	-3.22942147625316	-3.22942147625316
B403	37.0707447640511	37.0707447640511	-3.22941935042908	-3.22941935042908
B402	37.0707045617975	37.0707045617975	-3.22939877709227	-3.22939877709227
B401	37.0706866088666	37.0706866088666	-3.22939891763009	-3.22939891763009
P408	37.0714646082047	37.0714646082047	-3.2283140845245	-3.2283140845245
P407	37.0712888661447	37.0712888661447	-3.22840800700104	-3.22840800700104
P406	37.0714285633531	37.0714285633531	-3.22833740322714	-3.22833740322714
P405	37.0713864387412	37.0713864387412	-3.22836992251029	-3.22836992251029
P404	37.071362765078	37.071362765078	-3.22841517621604	-3.22841517621604
P403	37.0713187896126	37.0713187896126	-3.2285142588979	-3.2285142588979
P402	37.071300294993	37.071300294993	-3.22850688122037	-3.22850688122037
P401	37.0712451888132	37.0712451888132	-3.22851189394391	-3.22851189394391
R410	37.071228364659	37.071228364659	-3.22848572818158	-3.22848572818158
R409	37.071218740657	37.071218740657	-3.22855754867047	-3.22855754867047
R408	37.0711937043658	37.0711937043658	-3.22852681916921	-3.22852681916921
R407	37.0711796032495	37.0711796032495	-3.22854237289692	-3.22854237289692
R406	37.0711574339789	37.0711574339789	-3.22855722632327	-3.22855722632327
R405	37.0711503139232	37.0711503139232	-3.22861416017599	-3.22861416017599
R404	37.0711023028468	37.0711023028468	-3.22863458427201	-3.22863458427201
R403	37.0711110983229	37.0711110983229	-3.22865311689441	-3.22865311689441
R504	37.0699530905678	37.0699530905678	-3.22923962890706	-3.22923962890706
R503	37.0699635372468	37.0699635372468	-3.2292656773313	-3.2292656773313
R502	37.0700106275368	37.0700106275368	-3.2293164221862	-3.2293164221862
R501	37.0700265485598	37.0700265485598	-3.22937274955216	-3.22937274955216
B510	37.0703819945749	37.0703819945749	-3.22949703012989	-3.22949703012989
B509	37.0703917929148	37.0703917929148	-3.2295245594258	-3.2295245594258
B508	37.0703098464447	37.0703098464447	-3.22957360862194	-3.22957360862194
B507	37.0702880656845	37.0702880656845	-3.22959863987946	-3.22959863987946
B506	37.0702931255452	37.0702931255452	-3.22964230868484	-3.22964230868484
B505	37.070423429103	37.070423429103	-3.22970803014517	-3.22970803014517
B504	37.0703826881412	37.0703826881412	-3.22969521930955	-3.22969521930955
B503	37.0705015322899	37.0705015322899	-3.22957593453791	-3.22957593453791
B502	37.0703250335619	37.0703250335619	-3.22968814518533	-3.22968814518533
B501	37.0702618797327	37.0702618797327	-3.22966741149333	-3.22966741149333
P410	37.0715505694915	37.0715505694915	-3.22829993853893	-3.22829993853893
P409	37.0715074720018	37.0715074720018	-3.22831432889117	-3.22831432889117
P510	37.0701411839235	37.0701411839235	-3.22905829959662	-3.22905829959662
P509	37.0701738191724	37.0701738191724	-3.22904742081686	-3.22904742081686
P508	37.0702021454838	37.0702021454838	-3.22898853339287	-3.22898853339287
P507	37.0702476835774	37.0702476835774	-3.22894639817664	-3.22894639817664
P506	37.0703013388639	37.0703013388639	-3.228958008877	-3.228958008877
P505	37.0702869151246	37.0702869151246	-3.22902111276175	-3.22902111276175
P504	37.0702245099235	37.0702245099235	-3.22905797311389	-3.22905797311389
P503	37.0701770617647	37.0701770617647	-3.22904218846029	-3.22904218846029
P502	37.0701419859949	37.0701419859949	-3.22908827087925	-3.22908827087925
P501	37.0700853658192	37.0700853658192	-3.22915792851959	-3.22915792851959
R510	37.0699748951146	37.0699748951146	-3.22895534355045	-3.22895534355045
R509	37.0699179426516	37.0699179426516	-3.22897817679865	-3.22897817679865
R508	37.0698748885317	37.0698748885317	-3.22901114225616	-3.22901114225616
R507	37.0699154832921	37.0699154832921	-3.22906142751884	-3.22906142751884
R505	37.0699836929402	37.0699836929402	-3.2291178119394	-3.2291178119394
R506	37.0699472146838	37.0699472146838	-3.22919040867423	-3.22919040867423
R108	37.1019050315513	37.1019050315513	-3.37223275168856	-3.37223275168856
R107	37.1019343534745	37.1019343534745	-3.37222875488251	-3.37222875488251
R106	37.1019081093841	37.1019081093841	-3.37220648797962	-3.37220648797962
R105	37.1019474663062	37.1019474663062	-3.37211703490283	-3.37211703490283
R104	37.1019700851491	37.1019700851491	-3.37216221145592	-3.37216221145592
R103	37.1020230769674	37.1020230769674	-3.37223468311898	-3.37223468311898
R101	37.1019547829465	37.1019547829465	-3.37228506540068	-3.37228506540068
P104	37.1017619011637	37.1017619011637	-3.37239863779082	-3.37239863779082
P103	37.1018044088069	37.1018044088069	-3.37241764195713	-3.37241764195713
P102	37.1018331637019	37.1018331637019	-3.37247392679419	-3.37247392679419
P101	37.1018473230213	37.1018473230213	-3.37245987935389	-3.37245987935389
G110	37.1018737178214	37.1018737178214	-3.37244362191833	-3.37244362191833
G109	37.1018869697133	37.1018869697133	-3.37248716137221	-3.37248716137221
G108	37.1018771643401	37.1018771643401	-3.37246988828953	-3.37246988828953
G107	37.1018312388736	37.1018312388736	-3.37245537448824	-3.37245537448824
G106	37.1018122427128	37.1018122427128	-3.37243695243016	-3.37243695243016
G105	37.1018281554393	37.1018281554393	-3.37236458626701	-3.37236458626701
G104	37.1018498939918	37.1018498939918	-3.37238578679347	-3.37238578679347
G103	37.101775106844	37.101775106844	-3.37238198718163	-3.37238198718163
G102	37.1017496259999	37.1017496259999	-3.37236841980871	-3.37236841980871
G101	37.1018337362624	37.1018337362624	-3.37235390559498	-3.37235390559498
R110	37.1018932317845	37.1018932317845	-3.37223370792056	-3.37223370792056
R109	37.101966867782	37.101966867782	-3.37214907376525	-3.37214907376525
E110	37.1020055983472	37.1020055983472	-3.37254245830497	-3.37254245830497
E109	37.1020179422656	37.1020179422656	-3.37253213034827	-3.37253213034827
E108	37.1020285880926	37.1020285880926	-3.37258974355149	-3.37258974355149
E107	37.1020072037147	37.1020072037147	-3.37261992960807	-3.37261992960807
E106	37.101882204548	37.101882204548	-3.37271703526519	-3.37271703526519
E105	37.1018442668644	37.1018442668644	-3.37264906438768	-3.37264906438768
E104	37.1018423664187	37.1018423664187	-3.37262821191764	-3.37262821191764
E103	37.1018555999292	37.1018555999292	-3.37268101992571	-3.37268101992571
E102	37.1019189114635	37.1019189114635	-3.37261216979029	-3.37261216979029
E101	37.1019583466039	37.1019583466039	-3.37270330953098	-3.37270330953098
P110	37.1019690050478	37.1019690050478	-3.37233254958368	-3.37233254958368
P109	37.1019670928085	37.1019670928085	-3.37228873586576	-3.37228873586576
P108	37.101930515317	37.101930515317	-3.37227898662406	-3.37227898662406
P107	37.1019282070595	37.1019282070595	-3.37220424889351	-3.37220424889351
P106	37.1019268428953	37.1019268428953	-3.37218195404555	-3.37218195404555
P105	37.1017453516308	37.1017453516308	-3.37235890857027	-3.37235890857027
G206	37.100693709409	37.100693709409	-3.37282973356456	-3.37282973356456
G205	37.100752872453	37.100752872453	-3.37289371458717	-3.37289371458717
G204	37.1007134765885	37.1007134765885	-3.3729219931784	-3.3729219931784
G203	37.1006557383149	37.1006557383149	-3.37289109692473	-3.37289109692473
G202	37.1006838605949	37.1006838605949	-3.37290340443622	-3.37290340443622
G201	37.1007100822469	37.1007100822469	-3.37285766653883	-3.37285766653883
B110	37.1011642414166	37.1011642414166	-3.37303553898757	-3.37303553898757
B109	37.1011655641494	37.1011655641494	-3.37302109684985	-3.37302109684985
B108	37.1011167593554	37.1011167593554	-3.37296368767257	-3.37296368767257
B107	37.1011087658959	37.1011087658959	-3.3729518568685	-3.3729518568685
B106	37.1010884834743	37.1010884834743	-3.37293946053428	-3.37293946053428
B105	37.1010546379478	37.1010546379478	-3.37299628214076	-3.37299628214076
B104	37.1010305408832	37.1010305408832	-3.37295260888389	-3.37295260888389
B103	37.1010298601712	37.1010298601712	-3.37297157024589	-3.37297157024589
B101	37.1009750184496	37.1009750184496	-3.37290016468147	-3.37290016468147
B102	37.1010372990326	37.1010372990326	-3.37296026075536	-3.37296026075536
E202	37.1007569850164	37.1007569850164	-3.37310251336495	-3.37310251336495
E201	37.1008354700576	37.1008354700576	-3.3730778498989	-3.3730778498989
B210	37.100602813615	37.100602813615	-3.37286305234313	-3.37286305234313
B209	37.1005923465007	37.1005923465007	-3.37291347912833	-3.37291347912833
B208	37.1005823527071	37.1005823527071	-3.37293979960628	-3.37293979960628
B207	37.1005730124816	37.1005730124816	-3.37297928663005	-3.37297928663005
B206	37.1005761146073	37.1005761146073	-3.37305424413802	-3.37305424413802
B205	37.1006790876714	37.1006790876714	-3.37299596012628	-3.37299596012628
B204	37.1007271308875	37.1007271308875	-3.37301865905068	-3.37301865905068
B203	37.1006659929855	37.1006659929855	-3.37308274239809	-3.37308274239809
B202	37.1006654326771	37.1006654326771	-3.37304537874215	-3.37304537874215
B201	37.1007087412379	37.1007087412379	-3.37300345975948	-3.37300345975948
G210	37.1008008557298	37.1008008557298	-3.37264589131195	-3.37264589131195
G209	37.1008051170199	37.1008051170199	-3.37271146804506	-3.37271146804506
G208	37.1007741625207	37.1007741625207	-3.37271779061635	-3.37271779061635
G207	37.1007286500375	37.1007286500375	-3.3727712024639	-3.3727712024639
P208	37.1009057797293	37.1009057797293	-3.37277674289551	-3.37277674289551
P207	37.1009415163714	37.1009415163714	-3.37277094455776	-3.37277094455776
P206	37.1010502476619	37.1010502476619	-3.37276795492711	-3.37276795492711
P205	37.1010105125501	37.1010105125501	-3.37277369316867	-3.37277369316867
P204	37.1009650886696	37.1009650886696	-3.37279547601953	-3.37279547601953
P203	37.1009444130172	37.1009444130172	-3.37282041523669	-3.37282041523669
P202	37.1009195877885	37.1009195877885	-3.37280361677787	-3.37280361677787
P201	37.1009219128503	37.1009219128503	-3.37281297546354	-3.37281297546354
E210	37.100847775638	37.100847775638	-3.37310550644851	-3.37310550644851
E209	37.1008812146526	37.1008812146526	-3.37326123198621	-3.37326123198621
E208	37.1008705389392	37.1008705389392	-3.37322724983844	-3.37322724983844
E207	37.1008670933919	37.1008670933919	-3.37315862390586	-3.37315862390586
E206	37.1007470501738	37.1007470501738	-3.37320804738657	-3.37320804738657
E205	37.1007395550079	37.1007395550079	-3.37318597262397	-3.37318597262397
E204	37.1007475191474	37.1007475191474	-3.37313665098923	-3.37313665098923
E203	37.1007422026022	37.1007422026022	-3.37308480642148	-3.37308480642148
B304	37.0999138799995	37.0999138799995	-3.37377566351005	-3.37377566351005
B303	37.0999424734235	37.0999424734235	-3.3737708783223	-3.3737708783223
B302	37.0999646931631	37.0999646931631	-3.37381635942911	-3.37381635942911
B301	37.1000010041284	37.1000010041284	-3.37377250729532	-3.37377250729532
